dans ['t', 'o~'] => ton ['t', 'o~'] Erreur 0.0 <=>  (t=>t) (o~=>o~)
les ['l', 'e'] => les ['l', 'e'] Correct 0.0 <=>  (l=>l) (e=>e)
est ['e'] => est ['e'] Correct 0.0 <=>  (e=>e)
quelqu' ['k', 'E', 'l', 'k'] => quelques ['k', 'E', 'l', 'k'] Erreur 0.0 <=>  (k=>k) (E=>E) (l=>l) (k=>k)
un ['e~'] => un ['e~'] Correct 0.0 <=>  (e~=>e~)
par ['p', 'a', 'R', 'E'] => par ['p', 'a', 'R'] Correct 2.3 <=>  (p=>p) (a=>a) (R=>R) (E=>)
ou ['Z', 'u'] => joue ['Z', 'u'] Erreur 0.0 <=>  (Z=>Z) (u=>u)
par ['p', 'a', 'R'] => par ['p', 'a', 'R'] Correct 0.0 <=>  (p=>p) (a=>a) (R=>R)
là ['l', 'a', 'd'] => la ['l', 'a'] Erreur 2.3 <=>  (l=>l) (a=>a) (d=>)
la ['l', 'a'] => la ['l', 'a'] Correct 0.0 <=>  (l=>l) (a=>a)
est ['e'] => est ['e'] Correct 0.0 <=>  (e=>e)
loin ['l', 'w', 'e~'] => loin ['l', 'w', 'e~'] Correct 0.0 <=>  (l=>l) (w=>w) (e~=>e~)
être ['E', 't', 'R'] => être ['E', 't', 'R'] Correct 0.0 <=>  (E=>E) (t=>t) (R=>R)
et ['e'] => est ['e'] Erreur 0.0 <=>  (e=>e)
la ['l', 'a'] => la ['l', 'a'] Correct 0.0 <=>  (l=>l) (a=>a)
baisse ['b', 'E', 's'] => baisse ['b', 'E', 's'] Correct 0.0 <=>  (b=>b) (E=>E) (s=>s)
et ['e'] => est ['e'] Erreur 0.0 <=>  (e=>e)
comme ['k', 'o', 'm'] => comme ['k', 'o', 'm'] Correct 0.0 <=>  (k=>k) (o=>o) (m=>m)
un ['e~'] => un ['e~'] Correct 0.0 <=>  (e~=>e~)
plus ['p', 'l', 'y'] => plus ['p', 'l', 'y'] Correct 0.0 <=>  (p=>p) (l=>l) (y=>y)
loin ['l', 'w', 'e~'] => loin ['l', 'w', 'e~'] Correct 0.0 <=>  (l=>l) (w=>w) (e~=>e~)
et ['l'] => il ['i', 'l'] Erreur 1.0 <=>  (=>i) (l=>l)
donc ['d', 'o~', 'k'] => donc ['d', 'o~', 'k'] Correct 0.0 <=>  (d=>d) (o~=>o~) (k=>k)
un ['e~'] => un ['e~'] Correct 0.0 <=>  (e~=>e~)
