dans ['t', 'o~'] => on ['o~'] Erreur 1.0 <=>  (t=>) (o~=>o~)
les ['l', 'e'] => les ['l', 'e'] Correct 0.0 <=>  (l=>l) (e=>e)
est ['e'] => est ['e'] Correct 0.0 <=>  (e=>e)
un ['e~'] => un ['e~'] Correct 0.0 <=>  (e~=>e~)
par ['p', 'a', 'R', 'E'] => par ['p', 'a', 'R'] Correct 1.0 <=>  (p=>p) (a=>a) (R=>R) (E=>)
ou ['Z', 'u'] => vous ['v', 'u'] Erreur 1.0 <=>  (Z=>v) (u=>u)
par ['p', 'a', 'R'] => par ['p', 'a', 'R'] Correct 0.0 <=>  (p=>p) (a=>a) (R=>R)
là ['l', 'a', 'd'] => la ['l', 'a'] Erreur 1.0 <=>  (l=>l) (a=>a) (d=>)
la ['l', 'a'] => la ['l', 'a'] Correct 0.0 <=>  (l=>l) (a=>a)
est ['e'] => est ['e'] Correct 0.0 <=>  (e=>e)
être ['E', 't', 'R'] => être ['E', 't', 'R'] Correct 0.0 <=>  (E=>E) (t=>t) (R=>R)
et ['e'] => est ['e'] Erreur 0.0 <=>  (e=>e)
la ['l', 'a'] => la ['l', 'a'] Correct 0.0 <=>  (l=>l) (a=>a)
et ['e'] => est ['e'] Erreur 0.0 <=>  (e=>e)
comme ['k', 'o', 'm'] => comme ['k', 'o', 'm'] Correct 0.0 <=>  (k=>k) (o=>o) (m=>m)
un ['e~'] => un ['e~'] Correct 0.0 <=>  (e~=>e~)
plus ['p', 'l', 'y'] => plus ['p', 'l', 'y'] Correct 0.0 <=>  (p=>p) (l=>l) (y=>y)
et ['l'] => est ['e'] Erreur 1.0 <=>  (l=>e)
donc ['d', 'o~', 'k'] => donc ['d', 'o~', 'k'] Correct 0.0 <=>  (d=>d) (o~=>o~) (k=>k)
un ['e~'] => un ['e~'] Correct 0.0 <=>  (e~=>e~)
et ['i'] => est ['e'] Erreur 1.0 <=>  (i=>e)
à ['a'] => à ['a'] Correct 0.0 <=>  (a=>a)
son ['s', 'o~'] => sont ['s', 'o~'] Erreur 0.0 <=>  (s=>s) (o~=>o~)
et ['e'] => est ['e'] Erreur 0.0 <=>  (e=>e)
puis ['p', 'H', 'i'] => puis ['p', 'H', 'i'] Correct 0.0 <=>  (p=>p) (H=>H) (i=>i)
lui ['l', 'H', 'i'] => lui ['l', 'H', 'i'] Correct 0.0 <=>  (l=>l) (H=>H) (i=>i)
