ici ['j', 'z', 'i', 'l'] => aussi ['O', 's', 'i'] Erreur 8.3 <=>  (j=>O) (z=>s) (i=>i) (l=>)
aussi ['O', 's', 'i'] => aussi ['O', 's', 'i'] Correct 0.0 <=>  (O=>O) (s=>s) (i=>i)
alors ['a', 'l', 'o', 'R'] => alors ['a', 'l', 'o', 'R'] Correct 0.0 <=>  (a=>a) (l=>l) (o=>o) (R=>R)
maintenant ['m', 'e~', 't', '@', 'n', 'a~'] => maintenant ['m', 'e~', 't', '@', 'n', 'a~'] Correct 0.0 <=>  (m=>m) (e~=>e~) (t=>t) (@=>@) (n=>n) (a~=>a~)
avez ['E', 'v', 'i'] => pays ['p', 'E', 'i'] Erreur 3.3 <=>  (=>p) (E=>E) (v=>) (i=>i)
compris ['k', 'o~', 'p', 'R', 'i'] => compris ['k', 'o~', 'p', 'R', 'i'] Correct 0.0 <=>  (k=>k) (o~=>o~) (p=>p) (R=>R) (i=>i)
vraiment ['v', 'R', 'e', 'm', 'a~'] => vraiment ['v', 'R', 'e', 'm', 'a~'] Correct 0.0 <=>  (v=>v) (R=>R) (e=>e) (m=>m) (a~=>a~)
alors ['n', 'a~', 'v'] => maintenant ['m', 'e~', 't', 'n', 'a~'] Erreur 5.3 <=>  (=>m) (=>e~) (=>t) (n=>n) (a~=>a~) (v=>)
avez ['v', 'e'] => avez ['a', 'v', 'e'] Correct 1.0 <=>  (=>a) (v=>v) (e=>e)
beaucoup ['b', 'O', 'k', 'u'] => beaucoup ['b', 'O', 'k', 'u'] Correct 0.0 <=>  (b=>b) (O=>O) (k=>k) (u=>u)
histoire ['i', 's', 't', 'w', 'a', 'R'] => histoire ['i', 's', 't', 'w', 'a', 'R'] Correct 0.0 <=>  (i=>i) (s=>s) (t=>t) (w=>w) (a=>a) (R=>R)
partir ['a', 'R', 't', 'i', 'R'] => partir ['p', 'a', 'R', 't', 'i', 'R'] Correct 1.0 <=>  (=>p) (a=>a) (R=>R) (t=>t) (i=>i) (R=>R)
merci ['m', 'E', 'R', 's', 'i'] => merci ['m', 'E', 'R', 's', 'i'] Correct 0.0 <=>  (m=>m) (E=>E) (R=>R) (s=>s) (i=>i)
eric ['e', 'R', 'i', 'k'] => eric ['e', 'R', 'i', 'k'] Correct 0.0 <=>  (e=>e) (R=>R) (i=>i) (k=>k)
aujourd' ['O', 'Z', 'u', 'R', 'd'] => aujourd' ['O', 'Z', 'u', 'R', 'd'] Correct 0.0 <=>  (O=>O) (Z=>Z) (u=>u) (R=>R) (d=>d)
